GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Pokemon SOAP API,com.pokemon.api.config,WebServiceConfig,0,50,0,0,0,12,0,4,0,4
Pokemon SOAP API,com.pokemon.api.config,WebClientConfig,0,5,0,0,0,2,0,2,0,2
Pokemon SOAP API,com.pokemon.soap,GetIdRequest,10,0,0,0,3,0,3,0,3,0
Pokemon SOAP API,com.pokemon.soap,GetLocationAreaEncountersRequest,10,0,0,0,3,0,3,0,3,0
Pokemon SOAP API,com.pokemon.soap,GetHeldItemsRequest,10,0,0,0,3,0,3,0,3,0
Pokemon SOAP API,com.pokemon.soap,GetBaseExperienceRequest,10,0,0,0,3,0,3,0,3,0
Pokemon SOAP API,com.pokemon.soap,GetAbilitiesRequest,10,0,0,0,4,0,3,0,3,0
Pokemon SOAP API,com.pokemon.soap,GetIdResponse,10,0,0,0,3,0,3,0,3,0
Pokemon SOAP API,com.pokemon.soap,GetNameResponse,10,0,0,0,3,0,3,0,3,0
Pokemon SOAP API,com.pokemon.soap,GetAbilitiesResponse,14,0,2,0,4,0,3,0,2,0
Pokemon SOAP API,com.pokemon.soap,GetLocationAreaEncountersResponse,14,0,2,0,4,0,3,0,2,0
Pokemon SOAP API,com.pokemon.soap,GetHeldItemsResponse,14,0,2,0,4,0,3,0,2,0
Pokemon SOAP API,com.pokemon.soap,GetNameRequest,10,0,0,0,3,0,3,0,3,0
Pokemon SOAP API,com.pokemon.soap,GetBaseExperienceResponse,10,0,0,0,3,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.soap,GetBaseExperienceRequest,10,0,0,0,4,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.soap,ObjectFactory,51,0,0,0,14,0,13,0,13,0
Pokemon SOAP API,com.pokemon.api.soap,GetHeldItemsRequest,10,0,0,0,4,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.soap,GetNameRequest,10,0,0,0,4,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.soap,GetIdRequest,10,0,0,0,4,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.soap,GetHeldItemsResponse,14,0,2,0,4,0,3,0,2,0
Pokemon SOAP API,com.pokemon.api.soap,GetNameResponse,10,0,0,0,4,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.soap,GetLocationAreaEncountersRequest,10,0,0,0,4,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.soap,GetIdResponse,10,0,0,0,4,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.soap,GetBaseExperienceResponse,10,0,0,0,4,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.soap,GetLocationAreaEncountersResponse,14,0,2,0,4,0,3,0,2,0
Pokemon SOAP API,com.pokemon.api.soap,GetAbilitiesRequest,10,0,0,0,4,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.soap,GetAbilitiesResponse,14,0,2,0,4,0,3,0,2,0
Pokemon SOAP API,com.pokemon.api,PokemonSoapApiApplication,5,3,0,0,2,1,1,1,1,1
Pokemon SOAP API,com.pokemon.api.service,PokemonService,493,12,26,0,113,4,22,1,9,1
Pokemon SOAP API,com.pokemon.api.controller,PokemonSoapController,345,3,38,0,91,1,26,1,7,1
Pokemon SOAP API,com.pokemon.api.model,PokemonData.HeldItem,10,0,0,0,3,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.model,PokemonData.ItemDetail,10,0,0,0,3,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.model,PokemonData,45,0,0,0,14,0,13,0,13,0
Pokemon SOAP API,com.pokemon.api.model,PokemonData.AbilityDetail,10,0,0,0,3,0,3,0,3,0
Pokemon SOAP API,com.pokemon.api.model,PokemonRequest,57,10,0,0,18,3,13,3,13,3
Pokemon SOAP API,com.pokemon.api.model,PokemonData.Ability,10,0,0,0,3,0,3,0,3,0
